Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014 November,20
Cumulative number of confirmed Ebola cases,Senegal,2014 November,1
Cumulative number of probable Ebola cases,Senegal,2014 November,0
Cumulative number of suspected Ebola cases,Senegal,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014 November,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014 November,308
Number of probable Ebola cases in the last 21 days,Guinea,2014 November,7
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014 November,315
Number of confirmed Ebola cases in the last 21 days,Liberia,2014 November,340
Number of probable Ebola cases in the last 21 days,Liberia,2014 November,192
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014 November,532
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014 November,1389
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014 November,5
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014 November,1394
Cumulative number of confirmed Ebola deaths,Guinea,2014 November,982
Cumulative number of probable Ebola deaths,Guinea,2014 November,210
Cumulative number of suspected Ebola deaths,Guinea,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014 November,1192
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014 November,2964
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014 November,1041
Cumulative number of probable Ebola deaths,Sierra Leone,2014 November,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014 November,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014 November,1250
Cumulative number of confirmed Ebola deaths,Mali,2014 November,4
Cumulative number of probable Ebola deaths,Mali,2014 November,1
Cumulative number of suspected Ebola deaths,Mali,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014 November,5
Cumulative number of confirmed Ebola deaths,Spain,2014 November,0
Cumulative number of probable Ebola deaths,Spain,2014 November,0
Cumulative number of suspected Ebola deaths,Spain,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014 November,0
Cumulative number of confirmed Ebola deaths,United States of America,2014 November,1
Cumulative number of probable Ebola deaths,United States of America,2014 November,0
Cumulative number of suspected Ebola deaths,United States of America,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014 November,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014 November,7
Cumulative number of probable Ebola deaths,Nigeria,2014 November,1
Cumulative number of suspected Ebola deaths,Nigeria,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014 November,8
Cumulative number of confirmed Ebola deaths,Senegal,2014 November,0
Cumulative number of probable Ebola deaths,Senegal,2014 November,0
Cumulative number of suspected Ebola deaths,Senegal,2014 November,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014 November,0
Cumulative number of confirmed Ebola cases,Guinea,2014 November,1647
Cumulative number of probable Ebola cases,Guinea,2014 November,208
Cumulative number of suspected Ebola cases,Guinea,2014 November,64
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014 November,1919
Cumulative number of confirmed Ebola cases,Liberia,2014 November,2562
Cumulative number of probable Ebola cases,Liberia,2014 November,1716
Cumulative number of suspected Ebola cases,Liberia,2014 November,2600
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014 November,6878
Cumulative number of confirmed Ebola cases,Sierra Leone,2014 November,4683
